RecordId,PropertyAddress,TotalAssessedValue,LotSizeOrArea,SalesPriceFromAssessment,YearBuilt,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths
1,1 Acanthus,725106,5254,470000,1999,5,3,0
2,21 Acanthus,469329,3964,318000,2000,3,2,1
3,27 Acanthus,398270,5637,529000,2000,3,2,1
4,29 Acanthus,495921,4382,336000,2000,5,3,0
5,35 Acanthus,468527,4235,323500,2000,3,2,1
6,43 Acanthus,706275,10552,450500,2000,4,3,0
7,36 Acanthus,615305,5814,418000,2000,3,3,0
8,10 Acanthus,544521,8587,369000,1999,4,3,0
9,43 Bel Flora,973114,4559,710000,1999,4,2,1
10,21 Bel Flora,751724,4091,540000,1999,3,2,1
11,12 Bel Flora,646014,8225,437500,1999,3,3,0
12,5 Caladium,814364,4801,585000,1999,3,3,0
13,36 Bel Flora,1103864,5891,830000,1999,4,3,0
14,28 Crystalaire,847273,5934,620000,1998,3,2,1
15,41 Edelweiss,746589,7006,489500,2000,3,3,0
16,39 Edelweiss,680709,5668,470000,1998,4,3,0
17,33 Edelweiss,1084291,5037,842000,2000,5,3,0
18,19 Edelweiss,541275,4540,366500,1999,3,2,1
19,6 Edelweiss,600221,5579,406500,1999,3,3,0
20,12 Edelweiss,859571,4378,629000,1999,3,2,1
21,14 Edelweiss,612038,5091,414500,1999,3,3,0
22,18 Edelweiss,1069697,6513,975000,1999,3,3,0
23,1 Freesia,536857,5184,361500,1999,4,3,0
24,6 Freesia,661970,7796,425000,1999,3,3,0
25,38 Edelweiss,678349,6233,438000,2000,5,3,0
26,40 Edelweiss,598277,5547,396000,2000,4,2,1
27,26 Wildemere,924447,4730,690000,1996,4,2,1
28,34 Wildemere,332913,3950,206000,1996,4,2,1
29,38 Wildemere,384264,3950,222000,1996,3,2,1
30,44 Wildemere,626684,4080,439000,1996,3,2,1
31,44 Woodsong,608018,4400,433000,1996,3,2,1
32,62 Woodsong,338443,5400,216500,1996,3,3,0
33,61 Woodsong,542453,3600,360000,1996,4,2,1
34,57 Woodsong,580504,3700,385500,1996,4,2,1
35,30 Wayfaire,558024,4235,393000,1995,3,3,0
36,37 Wayfaire,809009,3600,592000,1995,3,3,0
37,29 Wayfaire,463455,4212,320000,1995,3,3,0
38,27 Wayfaire,729749,3900,534000,1995,4,2,1
39,1 Wayfaire,421021,4810,285000,1997,3,3,0
40,12 Wildemere,436403,4150,270000,1996,4,2,1
41,32 Meadowood,947030,7000,590000,1996,3,3,0
42,5 Cloverdale,897895,4560,645000,1995,3,3,0
43,33 Greenvale,443442,5600,280000,1996,3,3,0
44,24 Castletree,544767,6720,302500,1995,4,3,0
45,28 Castletree,494149,6664,320000,1997,3,3,0
46,6 Castletree,416018,5220,251000,1996,4,2,1
47,20 Castletree,370687,4840,237000,1996,4,2,1
48,3 Meadowood,425167,5775,272000,1996,5,3,0
49,1 Meadowood,533992,7500,303000,1996,3,3,0
50,2 Meadowood,780955,5880,550000,1996,3,3,0
51,12 Woodsong,553754,4644,372500,1995,4,3,0
52,17 Woodsong,570517,4482,375000,1995,4,2,1
53,12 Greenvale,696037,6670,500000,1996,4,2,1
54,9 Greenvale,497100,4675,336500,1996,4,2,1
55,15 Greenvale,589265,5525,415000,1995,4,2,1
56,37 Grassy Knoll Ln,712747,4638,512000,1997,4,2,1
57,49 Grassy Knoll Ln,833606,4276,610000,1997,5,3,1
58,18 Sunnydale Ln,452042,4711,300000,1998,5,3,0
59,10 Grassy Knoll Ln,536118,6486,320000,1998,4,2,1
60,22 Grassy Knoll Ln,821187,6521,590000,1998,5,3,0
61,35 Castletree,404622,7280,228000,1996,5,3,0
62,37 Castletree,373976,5468,239000,1996,4,3,0
63,43 Castletree,480112,4316,325000,1996,4,2,1
64,47 Castletree,930117,4316,730000,1996,4,2,1
65,42 Castletree,652450,4300,459500,1996,4,3,0
66,40 Castletree,366776,4398,232000,1996,5,3,0
67,12 Summit Ct,1245857,9425,1450000,1997,5,4,0
68,6 Summit Ct,1233122,6890,1075000,1997,4,3,1
69,4 Summit Ct,1288015,6864,1150000,1997,4,4,0
70,11 Chaparral Ct,1173732,7130,825000,1996,5,4,1
71,21 Chaparral Ct,1072826,6890,711000,1996,4,3,1
72,22 Chaparral Ct,994220,9000,652500,1996,4,3,1
73,36 Crestview Dr,613714,8071,395000,1997,5,4,1
74,5 Chaparral Ct,978157,7920,610000,1997,4,3,1
75,12 Hillside Dr,742223,5569,520000,1996,3,3,0
76,28 Hillside Dr,473256,7383,298500,1997,3,3,0
77,29 Hillside Dr,646751,8480,379000,1997,3,3,0
78,27 Hillside Dr,500252,6414,279000,1997,4,3,0
79,19 Hillside Dr,1130914,5650,920000,1997,4,3,0
80,11 Hillside Dr,869911,5408,625000,1996,3,3,0
